Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ісаєвич,Азар,Федорович,чоловіча,1948-06-02,Агроном,хутір Верхівцеве,"парк Венгера, буд. 870 кв. 5, Підгородне, 91511",+380 (51) 178-02-78,bhydenkobohdan@example.com
Засядько,Георгій,Юрійович,чоловіча,1929-04-30,Філолог,місто Зоринськ,"проспект Неплія, буд. 8 кв. 6, Боково-Хрустальне, 99998",+380 77 029-87-28,parmen31@example.org
Артим,Ліза,Дмитрівна,жіноча,1967-10-08,Бібліотекар,хутір Галич,"узвіз Бокаріуса Миколи, буд. 8, Тернопіль, 37717",713-11-63,volodymyrbairak@example.com
Вдовенко,Зорян,Тарасович,чоловіча,1975-09-17,Літературознавець,село Горохів,"набережна Троїцького Миколи, буд. 303 кв. 49, Косів, 56396",078 537-75-12,hryhoriimakohon@example.net
Вдовиченко,Лукʼян,Юрійович,чоловіча,1935-08-16,Мінералог,село Немирів,"узвіз Висока, буд. 25, Глиняни, 68263",+380 62 684-13-28,dzhusviktor@example.com
Смик,Орест,Андрійович,чоловіча,1999-02-09,Антрополог,місто Красилів,"узвіз 6-та Лінія Марії Демченко, буд. 81 кв. 87, Охтирка, 72093",+380 (76) 902-22-40,tlahoda@example.com
Туркало,Тимофій,Ярославович,чоловіча,1929-01-27,Письменник,село Арциз,"проспект Амбулаторний 1-й, буд. 09, Чугуїв, 31518",022 295-80-30,iarema21@example.net
Верменич,Трохим,Ярославович,чоловіча,1985-02-04,Кінокритик,хутір Новий Калинів,"парк Миколи Гефта, буд. 930, Курахове, 58012",096 56 71,turkalohennadii@example.org
Шинкаренко,Веніямин,Тарасович,чоловіча,1959-11-30,Детектив,село Торецьк,"вулиця Луценка Івана, буд. 75, Федорівка, 58408",046 358-75-98,okhrimtsymbal@example.com
Макогон,Кирило,Сергійович,чоловіча,1933-02-17,Філолог,селище Володимир-Волинський,"проспект Миколи Гумільова, буд. 1, Перещепине, 91100",025 847 78 73,gkadeniuk@example.org
Гузь,Адам,Миколайович,чоловіча,1941-02-27,Шериф,хутір Боярка,"набережна Локомотивний 4-й, буд. 888, Батурин, 19505",+380 42 134 30 66,panteleimon74@example.org
Якименко,Федір,Захарович,чоловіча,2004-10-07,Піаніст,селище Пирятин,"вулиця 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 331, Новогродівка, 37769",553-48-87,tzakusylo@example.net
Мамчур,Олена,Вікторівна,жіноча,1953-02-13,Прокурор,селище Дружба ,"площа Лінія 55-та, буд. 899, Бровари, 63737",+380 53 232-16-66,kyrylo94@example.org
Артим,Ярема,Вікторович,чоловіча,2006-12-11,Патологоанатом,селище Ківерці,"набережна Іванова Ігоря, буд. 00 кв. 4, Чоп, 80664",+380 67 796-75-75,bohdanna59@example.com
Міщенко,Альберт,Григорович,чоловіча,1943-01-20,Каскадер,місто Ічня,"вулиця Жуковського, буд. 9 кв. 88, Винники, 81500",+380 73 314-08-38,ierchenkoarsen@example.net
Карпа,Христина,Захарівна,жіноча,1963-12-02,Кіноактор,село Тиврів,"узвіз Парусна, буд. 062 кв. 7, Часів Яр, 87804",+380 73 977-13-97,dmytrochornovil@example.org
Семенченко,Єлисей,Русланович,чоловіча,2002-02-21,Юрист,селище Ананьїв,"площа Вірського, буд. 7 кв. 1, Ватутіне, 88686",+380 (69) 432-01-38,okhrim41@example.net
Чарниш,Семен,Миколайович,чоловіча,1987-05-09,Шериф,хутір Новгород-Сіверський,"провулок Юхима Геллера, буд. 108 кв. 86, Козятин, 52538",+380 77 601-03-59,kolodubomelian@example.com
Чумак,Орина,Михайлівна,жіноча,1947-07-16,Няня,село Алчевськ,"набережна Шишкіна, буд. 5, Городище , 02586",+380 (37) 154-67-68,korolenkoviacheslav@example.org
Щербань,Кирило,Ярославович,чоловіча,1973-02-04,Астронавт,хутір Фастів,"парк Артезіанська, буд. 6, Щастя , 45168",730-29-87,mgerega@example.net
Макогон,Демʼян,Євгенович,чоловіча,1977-08-02,Електротехнік,село Чуднів,"парк Змієнка Всеволода, буд. 18 кв. 443, Лубни, 21632",+380 16 080-36-95,alina76@example.org
Перебийніс,Пантелеймон,Ярославович,чоловіча,1981-04-08,Антрополог,місто Ананьїв,"набережна Лучиста, буд. 73 кв. 22, Синельникове, 22395",272-50-93,vbaranets@example.com
Влох,Трохим,Вікторович,чоловіча,1983-09-14,Ветеринар,місто Чигирин,"набережна Чорноморський, буд. 990 кв. 4, Оріхів, 99798",+380 43 317-20-00,spas64@example.net
Євтушок,Василь,Захарович,чоловіча,1945-07-13,Етнограф,село Жовті Води,"узвіз Заводська 1-ша, буд. 25, Верхньодніпровськ, 57215",+380 (07) 391-87-36,demyd61@example.com
Василевич,Ілля,Дмитрович,чоловіча,1932-09-26,Перекладач,місто Моспине,"сквер Угорська, буд. 870, Брянка, 25883",+380 48 329 24 57,skorobohatkoalevtyn@example.net
Колодуб,Христина,Олександрівна,жіноча,1945-07-25,Клоун,хутір Алушта,"узвіз Дюківська, буд. 256, Зугрес, 94979",+380 (60) 611-14-26,klavdiia76@example.net
Остапчук,Ярослава,Богданівна,жіноча,1972-12-20,Стоматолог,місто Ямпіль,"узвіз Цементний, буд. 355 кв. 53, Молодогвардійськ, 29997",427 06 72,jvashchenko@example.net
Лемешко,Богдан,Богданович,чоловіча,1987-07-13,Електрослюсар,селище Чорнобиль,"провулок Дубовий гай, буд. 654, Нова Одеса, 45570",024-32-18,hryhoriigerega@example.com
Приходько,Богдан,Тарасович,чоловіча,1952-06-08,Композитор,селище Коростень,"сквер Костанді, буд. 5 кв. 9, Ічня, 44117",+380 87 784 95 29,yzasiadko@example.com
Дурдинець,Прохір,Іванович,чоловіча,1933-08-04,Композитор,селище Алчевськ,"проспект Верф’яний, буд. 275, Стрий, 88458",+380 (34) 239-86-01,hordiiprykhodko@example.net
Баранець,Мартин,Євгенович,чоловіча,1990-08-09,Режисер,селище Почаїв,"сквер Тепла, буд. 5 кв. 2, Світловодськ, 67962",+380 43 257-83-28,qpelekh@example.net
Щорс,Едита,Дмитрівна,жіноча,1953-08-06,Електрослюсар,селище Хорол ,"парк Спартаківська, буд. 38 кв. 936, Снятин, 59182",648-02-70,samoilenkoiaroslav@example.org
Александренко,Богуслава,Русланівна,жіноча,1968-02-18,Композитор,село Красноград,"проспект Дорбуду, буд. 7, Мирноград, 18017",050 263-89-97,ruslanbabenko@example.org
Баклан,Ганна,Ярославівна,жіноча,1993-08-13,Живописець,селище Бровари,"шосе Перлинна, буд. 11 кв. 04, Гайворон, 41956",+380 24 335-41-05,sofiiamiroshnychenko@example.org
Бебешко,Микита,Юрійович,чоловіча,1957-10-11,Піаніст,селище Дружба ,"узвіз Желябова, буд. 1 кв. 9, Світлодарськ, 54269",+380 (48) 244-59-64,stefanivanenko@example.com
Атаманчук,Яків,Іванович,чоловіча,2008-07-22,Водій,село Жмеринка,"узвіз Восьмого березня 5-й, буд. 61, Красноград, 31207",+380 (10) 079-95-60,tavramenko@example.com
Карась,Марʼяна,Леонідівна,жіноча,1992-03-15,Кінорежисер,селище Ковель,"площа Північний, буд. 7, Бар, 02958",064 465 71 46,olenazasukha@example.com
Бабʼяк,Петро,Федорович,чоловіча,1947-09-15,Слідчий,хутір Новодружеськ,"площа Академічний, буд. 3 кв. 7, Першотравенськ, 45198",819 83 89,iefrem72@example.org
Дейнеко,Охрім,Костянтинович,чоловіча,1969-04-19,Петрограф,село Калуш,"сквер Бориса Дерев'янка, буд. 4 кв. 8, Бібрка, 35780",001 570 21 64,tymofii27@example.net
Стець,Дан,Богданович,чоловіча,1929-07-08,Філолог,місто Волноваха,"вулиця Лузанівка, буд. 23 кв. 6, Дрогобич, 05534",184-04-19,lmykhailiuk@example.org
Дерегус,Софія,Богданівна,жіноча,1978-07-15,Художник,село Новомиргород,"парк Восьмого березня узвіз, буд. 96 кв. 41, Алупка, 06567",+380 86 649 99 65,cverkhola@example.com
Кащенко,Геннадій,Ярославович,чоловіча,2000-07-26,Дерун,селище Херсон,"проспект Лучиста, буд. 120, Коростишів, 63042",314-56-48,ariabovil@example.net
Данчук,Оксенія,Андріївна,жіноча,1943-05-29,Хімік,хутір Маріуполь,"набережна Ромашкова, буд. 9, Бар, 27179",078 825 81 45,iatsenkoiaroslav@example.org
Данько,Тарас,Євгенович,чоловіча,1986-09-15,Співак,хутір Сновськ,"сквер Перший Кришталевий, буд. 404, Вільнянськ, 64801",+380 75 095-92-79,onysym19@example.com
Юхименко,Кирило,Захарович,чоловіча,1960-01-06,Ґрунтознавець,селище Енергодар,"набережна Горбатий міст, буд. 911, Кам'янське, 22709",+380 (70) 672-51-43,mshyian@example.com
Дейнеко,Орест,Федорович,чоловіча,1999-09-08,Перекладач,хутір Новгород-Сіверський,"парк Світлий, буд. 822 кв. 58, Новомосковськ, 43094",+380 (88) 309-27-23,ovatamaniuk@example.org
Василевич,Демид,Федорович,чоловіча,1985-09-11,Письменник,село Ковель,"провулок 1-ша Суворовська, буд. 5, Кальміуське, 26096",000 169 66 85,shvaikavalerii@example.org
Козаченко,Костянтин,Михайлович,чоловіча,1941-03-22,Каскадер,хутір Одеса,"провулок Райдужна, буд. 719 кв. 1, Хрустальний, 55813",045 666-71-37,zakharmishchenko@example.net
Ткаченко,Марко,Михайлович,чоловіча,1956-01-06,Гірник,місто Любомль,"шосе Амурська, буд. 41 кв. 936, Калинівка , 33764",+380 32 166 95 94,dtymchuk@example.net
Власюк,Людмила,Федорівна,жіноча,1961-06-16,Конструктор,хутір Кам'янка-Дніпровська,"парк Соляний 6-й, буд. 696, Монастириська, 80896",220 00 43,tytarenkoihnat@example.net
Сіробаба,Софія,Сергіївна,жіноча,2001-05-19,Доцент,місто Копичинці,"узвіз Кишинівська, буд. 18, Радивилів, 07920",018-74-03,qzakharchenko@example.com
Вертипорох,Франц,Тарасович,чоловіча,1932-12-01,Біолог,хутір Первомайськ,"набережна Регенсбург, буд. 061, Тальне, 11908",203-02-04,oleksandrvernydub@example.com
Карась,Ірена,Федорівна,жіноча,1959-05-28,Ветеринар,місто Бориспіль,"сквер Маланова, буд. 07, Гайворон, 56889",+380 24 889 11 40,orynaandriishyna@example.net
Свириденко,Людмила,Миколаївна,жіноча,1986-08-29,Клавішник,хутір Географія Вільнянська,"сквер Чубаївська, буд. 25, Докучаєвськ, 80931",+380 73 566 29 17,lkhomyk@example.net
Байда,Віолетта,Леонідівна,жіноча,1997-01-15,Намотувальник,хутір Долинська,"проспект Восьмого березня 9-й, буд. 056 кв. 0, Гребінка, 21253",702-77-34,chervonenkoveniiamyn@example.net
Стус,Левко,Тарасович,чоловіча,2004-07-23,Кушнір,селище Новодністровськ,"провулок Скворцова, буд. 574 кв. 5, Верхньодніпровськ, 77872",+380 65 836-13-16,ukolodub@example.net
Артеменко,Христина,Євгенівна,жіноча,2005-11-27,Бібліотекар,селище Болехів,"вулиця Старопортофранківська, буд. 916 кв. 109, Глиняни, 18978",063 556 07 89,albertshamrai@example.org
Верменич,Герман,Євгенович,чоловіча,1966-12-07,Дерун,село Щастя ,"вулиця Слави, буд. 756 кв. 33, П'ятихатки, 87362",+380 27 093-60-92,liliia53@example.org
Гаврилець,Михайлина,Сергіївна,жіноча,1930-03-16,Намотувальник,місто Суходільськ,"шосе Майстерний, буд. 07 кв. 402, Глухів, 97416",228 75 53,bashtankhoma@example.com
Доценко,Аніта,Григорівна,жіноча,1975-09-28,Фрілансер,хутір Добромиль,"проспект Соляний 1-й, буд. 3, Карлівка, 18877",058 070-92-21,izharko@example.com
Царенко,Франц,Ярославович,чоловіча,1940-12-04,Детектив,місто Любомль,"сквер Чорноморський 11-й, буд. 14 кв. 1, Армянськ, 29028",083 666 91 84,sirobabasemen@example.net
Харченко,Гліб,Юрійович,чоловіча,1988-10-21,Педагог,місто Тульчин,"парк Юннатів, буд. 0, Василівка , 63757",083 685 99 42,zriabovil@example.net
Охримович,Тетяна,Олександрівна,жіноча,1985-09-19,Письменник,хутір Новоукраїнка,"вулиця 8-ма Суворовська, буд. 25, Хрустальний, 29007",008 757-06-13,ihor77@example.org
Черінько,Михайло,Федорович,чоловіча,1957-12-27,Промисловець,хутір Боково-Хрустальне,"провулок Естафетна, буд. 0 кв. 180, Підгородне, 53299",846 65 12,zynoviiiurchyshyna@example.org
Оберемко,Георгій,Леонідович,чоловіча,1975-09-17,Бухгалтер,село Балта,"провулок Дігтярна, буд. 238 кв. 9, Южне, 56360",013 580-80-97,ldrozdenko@example.net
Терещенко,Теодор,Сергійович,чоловіча,1958-05-29,Мовознавець,хутір Бучач,"проспект Старобазарний, буд. 8 кв. 77, Шумськ, 71719",+380 (21) 369-28-04,ruslanturkalo@example.com
Абраменко,Едуард,Костянтинович,чоловіча,1971-08-06,Програміст,хутір Лохвиця,"узвіз Головківська, буд. 939, Ватутіне, 90529",+380 (56) 409-35-14,iaryna93@example.org
Хорішко,Варвара,Михайлівна,жіноча,1956-07-13,Дипломат,селище Почаїв,"проспект Цементний, буд. 82 кв. 9, Борщів, 80509",036 536 35 90,danylo64@example.org
Абраменко,Соломія,Андріївна,жіноча,1951-01-01,Фольклорист,хутір Пустомити,"вулиця Текстильників, буд. 775 кв. 2, Дергачі, 51255",890-45-74,vasylynasachenko@example.com
Удовиченко,Альберт,Дмитрович,чоловіча,1930-02-05,Кур'єр,хутір Гадяч,"вулиця Студентський 2-й, буд. 67, Іловайськ, 42479",039 523 47 40,iustymfartushniak@example.net
Євтушок,Дан,Андрійович,чоловіча,1982-05-01,Ювелір,хутір Верхівцеве,"сквер Качалова, буд. 271 кв. 25, Федорівка, 71835",+380 45 577-01-14,xdutka@example.com
Затула,Леонід,Ярославович,чоловіча,1937-10-16,Електрик,місто Міусинськ,"узвіз Привозна, буд. 3 кв. 94, Українськ, 27980",+380 79 525-68-55,khorishkoiakiv@example.com
Дубина,Руслан,Дмитрович,чоловіча,1927-10-28,Флорист,хутір Сніжне,"сквер Десантний, буд. 33, Інкерман, 49475",+380 68 491 36 54,aaron04@example.org
Єсипенко,Орися,Дмитрівна,жіноча,1978-03-11,Музикознавець,хутір Роздільна,"парк Аеропортівський 6-й, буд. 5 кв. 44, Підгородне, 98769",+380 91 125-61-44,aleksiichukdan@example.com
Демиденко,Леонід,Костянтинович,чоловіча,1969-08-23,Секретар,село Ічня,"проспект Сурикова, буд. 48, Малин, 24033",099 850-26-29,uiaremkiv@example.net
Штокало,Теодор,Леонідович,чоловіча,1990-07-29,Сценарист,хутір Старокостянтинів,"сквер Катаєва, буд. 34, Красноперекопськ, 88240",+380 59 633-32-78,albertkaras@example.org
Сиротенко,Віра,Юріївна,жіноча,1980-10-13,Фрілансер,село Білопілля,"набережна Білоруська, буд. 993 кв. 12, Ватутіне, 46981",059 242-96-29,hanna32@example.com
Рубець,Галина,Олександрівна,жіноча,2006-07-03,М'ясник,хутір Судова Вишня,"набережна Складська, буд. 140, Городня, 24066",087-98-32,ustenkoeduard@example.com
Смик,Олена,Русланівна,жіноча,1943-09-26,Географ,хутір Армянськ,"парк Юннатів, буд. 258, Стрий, 58930",819 84 72,davydenkoada@example.net
Андрейко,Йосип,Ярославович,чоловіча,1981-11-25,Кушнір,село Красногорівка,"провулок Городня, буд. 839 кв. 038, Подільськ, 95806",+380 66 333-82-22,saienkoanzhela@example.com
Царенко,Ольга,Русланівна,жіноча,1928-09-23,Медик,хутір Біла Церква,"сквер 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 8 кв. 156, Берегове, 98746",+380 (40) 163-99-14,milena73@example.net
Цимбал,Костянтин,Ярославович,чоловіча,1984-07-23,Психолог,місто Полонне,"набережна Чорноморський 6-й, буд. 67 кв. 52, Шепетівка, 94474",920 77 43,sirobabaruslan@example.org
Вакарчук,Іван,Леонідович,чоловіча,1927-11-10,Кур'єр,місто Славута,"узвіз Сосюри, буд. 89, Балаклія, 32605",040 84 11,lsaienko@example.com
Базавлученко,Орхип,Іванович,чоловіча,1940-09-20,Золотар,селище Ворожба,"вулиця Матеріальний 1-й, буд. 5, Рогатин, 88972",+380 49 744 01 38,hlib41@example.net
Бабʼяк,Ада,Олександрівна,жіноча,1972-10-21,Будник,селище Рені,"вулиця Бессарабська, буд. 4 кв. 34, Виноградів, 37348",001 415 15 74,zaporozhetsmyron@example.net
Петрик,Дан,Ярославович,чоловіча,1960-08-06,Промисловець,хутір Кам'янка-Бузька,"провулок Проектований 3-й, буд. 2, Борщів, 76907",+380 62 798 28 35,liliia19@example.net
Аверченко,Пріска,Тарасівна,жіноча,1940-11-06,Бібліотекар,хутір Свалява,"узвіз Марата 2-й, буд. 17, Генічеськ, 27885",+380 (75) 216-72-37,tymofii57@example.org
Шухевич,Володимира,Федорівна,жіноча,1978-10-13,Астроном,хутір Бар,"сквер Майстерний, буд. 583 кв. 291, Бердянськ, 82054",537 60 50,stefan94@example.org
Забарна,Пармен,Миколайович,чоловіча,1950-07-25,Реабілітолог,хутір Носівка,"набережна Сергія Ейзенштейна, буд. 7 кв. 0, Перевальськ, 61979",+380 33 731-62-06,havryletssymon@example.net
Примаченко,Олег,Олександрович,чоловіча,1970-02-22,Прокурор,хутір Миколаїв,"узвіз Гімназична, буд. 3 кв. 041, Ужгород, 52679",+380 71 754 38 32,antongoliash@example.org
Штепа,Давид,Андрійович,чоловіча,1997-06-26,Нотаріус,хутір Світловодськ,"провулок Мелітопольська, буд. 11, Косів, 55245",+380 85 142-41-75,dlukash@example.net
Юрченко,Амалія,Олександрівна,жіноча,1980-03-03,Клоун,місто Перемишляни,"парк Жуковського, буд. 916 кв. 0, Обухів, 14777",046 067-74-37,liubov15@example.net
Дробʼязко,Семен,Захарович,чоловіча,1956-08-31,Флорист,селище Сімферополь,"площа Новобазарний, буд. 33, Тараща, 46557",454-02-71,volodymyr67@example.net
Колісниченко,Едита,Тарасівна,жіноча,1958-12-17,Євнух,селище Нова Одеса,"шосе Сонячна, буд. 6, Зеленодольськ, 96960",+380 72 498-34-91,opanas43@example.org
Вергун,Костянтин,Захарович,чоловіча,2001-08-15,Ґрунтознавець,село Костянтинівка,"площа Аеродромна, буд. 9, Першотравенськ, 39817",+380 (37) 475-40-87,mykytiukliubov@example.net
Базилевська,Оксенія,Захарівна,жіноча,1976-07-12,Електромонтажник,селище Апостолове,"вулиця Алмазна, буд. 2, Деражня, 66291",+380 96 009-87-99,zynoviiderkach@example.net
Бабко,Леонід,Леонідович,чоловіча,1984-06-18,Живописець,місто Білопілля,"площа Марата, буд. 8, Любомль, 92750",+380 (73) 364-52-75,iosypholoborodko@example.org
Ємець,Валерій,Костянтинович,чоловіча,1952-01-24,Астронавт,хутір Устилуг,"парк Проектна 1-ша, буд. 24, Благовіщенське, 34657",228-66-48,boleslav35@example.net
Євтушок,Леонід,Михайлович,чоловіча,1953-10-07,Геофізик,місто Южне,"провулок Альпіністів, буд. 113 кв. 18, Саки , 79390",+380 46 329-37-97,alina26@example.net
Щириця,Едита,Федорівна,жіноча,1937-08-30,Краєзнавець,селище Чернігів,"узвіз Лиманчик 2-й Лінія 3-тя, буд. 565, Одеса, 15696",859-44-40,aleksandrenkooleh@example.org
Тарасенко,Артем,Тарасович,чоловіча,1962-07-26,Літературознавець,хутір Амвросіївка,"сквер Дежньова, буд. 571, Перещепине, 46621",+380 81 976-19-91,firvanets@example.org
Дробʼязко,Богдан,Андрійович,чоловіча,1961-02-20,Ріелтор,місто Снятин,"шосе Достоєвського, буд. 03 кв. 4, Зборів, 46885",+380 61 308 14 65,kyrylo39@example.com
Атаманчук,Тереза,Захарівна,жіноча,1939-02-08,Підприємець,місто Красноперекопськ,"парк Станційна 1-ша, буд. 328, Пустомити, 21111",+380 37 571 56 17,vasylynaisaievych@example.net
Гаврилів,Аніта,Вікторівна,жіноча,1977-01-31,Епідеміолог,місто Люботин,"площа Обсерваторний, буд. 5 кв. 99, Дніпро , 50676",050 905-43-08,roksolana54@example.com
Непорожній,Пилип,Михайлович,чоловіча,1931-12-24,Хімік,хутір Свалява,"набережна Академіка Корольова, буд. 075 кв. 1, Покров, 62161",073 370-93-84,sviatoslavsheremeta@example.org
Гунько,Михайло,Євгенович,чоловіча,1963-04-26,Правник,село Гірник ,"шосе Висоцького, буд. 495 кв. 698, Шпола, 24618",+380 49 944-77-73,kolodubbohuslav@example.com
Рябошапка,Юстим,Ярославович,чоловіча,1966-07-10,Випробувач,село Василівка ,"шосе Венгера, буд. 47, Роздільна, 38177",102 52 41,tandriienko@example.net
Гуцуляк,Євген,Леонідович,чоловіча,1950-12-25,Паблік рилейшнз,хутір Фастів,"парк Віри Фігнер, буд. 202 кв. 0, Кілія, 37153",+380 76 786-72-58,bohdanna88@example.org
Супруненко,Мирослав,Андрійович,чоловіча,2002-04-04,Круп'є,хутір Борщів,"вулиця Садова 2-га, буд. 63, Горішні Плавні, 45951",060 270-00-87,shchorsanton@example.net
Карпенко,Андрій,Богданович,чоловіча,1964-12-23,Льотчик,хутір Севастополь,"узвіз Вузький, буд. 491 кв. 510, Кобеляки, 27309",+380 45 217-92-42,sofiia16@example.org
Яценко,Ада,Костянтинівна,жіноча,1941-05-08,Математик,село Чортків,"площа Складська, буд. 35 кв. 00, Амвросіївка, 02103",058 544-63-37,aleksiichukoleksandr@example.com
Яковенко,Алла,Тарасівна,жіноча,1949-04-22,Краєзнавець,хутір Перевальськ,"вулиця Житкова, буд. 86, Харцизьк, 22154",093 934-27-42,bohdannaiarosh@example.net
Дейнека,Анжела,Леонідівна,жіноча,1961-07-25,Диригент,село Стебник,"шосе Нова, буд. 082, Богодухів, 22360",050 494 18 44,svystundavyd@example.com
Дахно,Арсен,Григорович,чоловіча,2004-11-23,Ґрунтознавець,село Курахове,"проспект Іванова, буд. 525, Кролевець, 22249",039 43 45,syrotenkoiakiv@example.org
Гайдамака,Пилип,Григорович,чоловіча,2006-08-24,Музикант,село Боярка,"парк Кипарисний 1-й, буд. 665, Луцьк, 11116",129 73 80,bshvachka@example.net
Щербань,Єва,Леонідівна,жіноча,1942-01-31,Євнух,село Кипуче,"набережна 8-ма Суворовська, буд. 99, Коломия, 87517",064 400 16 35,irenavoblyi@example.org
Бабій,Леопольд,Олександрович,чоловіча,1937-01-11,Головний меркшейдер,хутір Зборів,"вулиця Палубна, буд. 48, Іршава, 74346",382-48-28,tmalyk@example.com
Усик,Любов,Іванівна,жіноча,2004-06-26,Краєзнавець,селище Радивилів,"парк Кільовий, буд. 82, Косів, 36886",319 72 86,liaremenko@example.net
Дергач,Руслан,Сергійович,чоловіча,1952-06-20,Редактор,селище Вільнянськ,"проспект 11-та Суворовська, буд. 1 кв. 05, Кам'янка-Бузька, 87529",019 703-07-20,alevtyn20@example.org
Жученко,Любов,Юріївна,жіноча,1983-08-30,Модельєр,місто Старокостянтинів,"провулок Тупиковий 2-й, буд. 8, Новоукраїнка, 91466",+380 37 151 22 80,deinekapylyp@example.net
Супруненко,Орест,Олександрович,чоловіча,1993-01-30,Локсмайстер,село Баранівка,"парк Кавказький, буд. 14, Борзна, 80532",+380 16 994-91-79,alinatokar@example.org
Ящук,Едита,Федорівна,жіноча,1971-09-11,Реабілітолог,селище Косів,"провулок Урожайна, буд. 473, Бахмач, 61093",085 698 38 38,psavenko@example.com
Приходько,Ада,Дмитрівна,жіноча,1972-09-27,Психолог,хутір Охтирка,"площа Фабрична, буд. 3 кв. 7, Мелітополь, 72615",+380 79 444 25 66,demianchukprokhir@example.net
Адаменко,Захар,Миколайович,чоловіча,1957-07-05,Кінорежисер,хутір Городок,"парк Лазурний 2-й, буд. 0 кв. 091, Донецьк, 33503",+380 (99) 839-24-45,vasylashkoklavdiia@example.net
Фастенко,Златослава,Русланівна,жіноча,1983-07-05,Ді-джей,хутір Судак ,"площа Москвіна, буд. 561 кв. 6, Зеленодольськ, 04304",+380 (22) 594-37-36,dkomar@example.com
Конопленко,Антон,Вікторович,чоловіча,1967-04-04,Шериф,селище Чорноморськ,"сквер Амурський 1-й, буд. 46, Старокостянтинів, 39379",508-50-09,ihavryliuk@example.org
Єрмоленко,Златослава,Петрівна,жіноча,2000-11-03,Штукатур,село Рубіжне,"проспект Куликове поле, буд. 41, Комарно, 58358",949 84 57,markoopanasenko@example.net
Шаповал,Ілля,Олександрович,чоловіча,1970-07-10,Пілот,хутір Роздільна,"вулиця Миколи Боровського, буд. 999, Виноградів, 40906",+380 (23) 765-38-01,daryna58@example.com
Даценко,Анжела,Вікторівна,жіноча,1941-08-06,Інженер,хутір Херсон,"набережна Амундсена, 2-й, буд. 89 кв. 3, Теплодар, 59773",034 839-78-41,wartiukh@example.com
Рубець,Дан,Леонідович,чоловіча,1967-03-21,Локсмайстер,село Славута,"набережна Могилівська, буд. 836 кв. 79, Щастя , 50914",+380 (07) 946-72-58,fiashchenko@example.net
Іванченко,Яків,Вікторович,чоловіча,1981-05-06,Літературознавець,хутір Саки ,"проспект Ялинкова, буд. 1 кв. 6, Українськ, 85018",351 68 24,hrechanykhennadii@example.org
Шахрай,Леопольд,Костянтинович,чоловіча,1937-07-14,Провізор,селище Радехів,"парк Амбулаторний, буд. 703 кв. 3, Конотоп, 45351",+380 29 337-80-16,ctelychenko@example.org
Бабʼяк,Теодор,Григорович,чоловіча,1985-10-03,Промисловець,селище Вознесенівка,"сквер Катерининська, буд. 783, Лебедин, 32665",557 29 56,roksolana11@example.org
Вдовиченко,Богдан,Григорович,чоловіча,1958-12-26,Менеджер,хутір Вуглегірськ,"шосе Світанку, буд. 3 кв. 18, Докучаєвськ, 73025",+380 (70) 381-25-50,viacheslavbazylevych@example.org
Артимишин,Святослав,Олександрович,чоловіча,1965-12-21,Зоолог,село Благовіщенське,"шосе Ткачова, буд. 801 кв. 5, Овруч, 89912",+380 82 050-21-73,tduplii@example.org
Зінченко,Надія,Миколаївна,жіноча,2002-01-26,Штукатур,селище Снятин,"провулок Троїцького Миколи, буд. 60, Рогатин, 86174",+380 (55) 237-49-24,parmentymchenko@example.org
Фесенко,Соломія,Русланівна,жіноча,1939-02-01,Кінокритик,селище Снятин,"парк Чорноморський, буд. 383, Косів, 55849",+380 78 348 47 72,varfolomii15@example.com
Товстуха,Остап,Михайлович,чоловіча,1971-10-07,Менеджер,село Судак ,"вулиця Малиновський, буд. 9, Зборів, 07896",+380 10 528-23-43,olesvitruk@example.org
Якимчук,Марія,Леонідівна,жіноча,1986-01-24,Візажист,хутір Феодосія,"вулиця Сирітський, буд. 94 кв. 05, Світловодськ, 75516",408 40 22,trokhymsomko@example.net
Гавриленко,Соломон,Олександрович,чоловіча,2001-06-09,Дерун,хутір Борщів,"шосе Штабний, буд. 7, Петрово-Красносілля, 68780",+380 36 881-83-71,korbutarsen@example.net
Андрощук,Марʼяна,Русланівна,жіноча,1945-02-25,Клоун,село Бровари,"сквер Миколи Гефта, буд. 8, Миколаїв, 01112",+380 99 477-10-34,fartymyshyn@example.net
Вітрук,Геннадій,Леонідович,чоловіча,1936-10-13,Паралегал,село Довжанськ,"проспект Канатна, буд. 89 кв. 274, Золотоноша, 48239",055 532 95 21,iaroslavnikoliuk@example.net
Ірванець,Єва,Федорівна,жіноча,1935-07-31,Редактор,місто Таврійськ,"площа Володимира Хавкіна, буд. 138 кв. 8, Хоростків, 10453",+380 06 515-34-09,davydenkohordii@example.com
Вівчаренко,Олесь,Костянтинович,чоловіча,1981-09-28,Патологоанатом,місто Василівка ,"вулиця Прибережний, буд. 63, Новий Буг, 51767",+380 49 412-66-32,amvrosii86@example.net
Верменич,Ірина,Олександрівна,жіноча,1989-01-04,Фольклорист,село Богуслав,"проспект Соляний 4-й, буд. 4, Болехів, 34726",007 961 94 00,viacheslavlazarenko@example.net
